1	18.5	22000
2	18.5	7854
3	18.5	7556
4	18.5	15892
5	17	22000
6	17	18528
7	18.5	9614
8	18.5	12104
9	18.5	5161
10	18.5	11445
11	18.5	14225
12	17	22000
13	14	22000
14	14	22000
15	18.5	15067
16	17	22000
17	14	17739
18	18.5	5939
19	18.5	11519
20	18.5	9305
21	18.5	8060
22	18.5	8514
23	18.5	6853
24	18.5	9402
25	17	20290
26	17	13662
27	18.5	6778
28	18.5	6107
29	18.5	8860
30	18.5	6970
31	18.5	6078
32	18.5	8339
33	18.5	6929
34	18.5	7939
35	18.5	7496
36	18.5	5952
37	18.5	4593
38	18.5	16620
39	18	22000
40	18	12080
41	18.5	8794
42	18.5	7205
43	18.5	5646
44	18.5	8216
45	18	10874
46	18	9431
47	18.5	7784
48	18.5	6873
49	18	15306
50	18	16291
51	18.5	1295
52	18	11015
53	18	5098
54	14	15221
55	14	11020
56	18.5	2477
57	18.5	3024
58	14	5100
59	17	4274
60	14	3052
61	17	3564
62	14	3054
63	18.5	2774
64	18.5	8572
65	14	22000
66	14	13835
67	18.5	7101
68	18.5	6852
69	18.5	9078
70	18.5	9184
71	17	15578
72	14	5957
73	18.5	6213
74	18.5	6251
75	18.5	6867
76	18.5	7014
77	18.5	11516
78	18.5	15903
79	17	18243
80	14	6770
81	18.5	8340
82	18.5	10521
83	17	20159
84	14	17069
85	18.5	11036
86	17	19126
87	14	19809
88	18.5	12825
89	17	15073
90	14	12714
91	18.5	4030
92	18.5	6412
93	18.5	3460
94	18.5	4736
95	17	10097
96	18.5	6236
97	17	11933
98	18.5	4998
99	17	14160
100	17	8063
101	18.5	6464
102	18.5	7251
103	18.5	4495
104	18.5	7529
105	18.5	4969
106	18	15521
107	18	8479
108	18.5	4899
109	18.5	7957
110	18.5	7864
111	18.5	10125
112	18.5	11156
113	18.5	5838
114	18.5	7849
115	18.5	15752
116	18.5	6680
117	18.5	7675
118	18	22000
119	18	14925
120	18	16846
121	18	8800
122	18.5	6961
123	18.5	9039
124	18.5	6203
125	18.5	6895
126	17	12841
127	14	13259
128	18.5	6085
129	18.5	6396
130	18.5	4162
131	18.5	4323
132	14	10721
133	18.5	7498
134	14	15271
135	18.5	1734
136	18.5	6520
137	18.5	18980 
138	18.5	5951 
139	18.5	9275 
140	14	12309 
141	18.5	5348 
142	18.5	5311 
143	18.5	5480 
144	18.5	9269 
145	17	18253 
146	17	13921 
147	18.5	5079 
148	18.5	9375 
149	18.5	20500 
150	18.5	7122 
151	18.5	7353 
152	18.5	13484 
153	17	20500 
154	14	15076 
155	18.5	11034 
156	17	16326 
157	14	12061 
158	18.5	11051 
159	17	17068 
160	14	9113 
161	18.5	9028 
162	17	18099 
163	18.5	15099 
164	17	13649 
165	17	8214 
166	18.5	5047 
167	18.5	3695 
168	18.5	6432 
169	18.5	7570 
170	18.5	3277 
171	18.5	7372 
172	18.5	5715 
173	18.5	7899 
174	18.5	8340 
175	18.5	5196 
176	18.5	8431 
177	18.5	10043 
178	18.5	8334 
179	18	14225 
180	18	9458 
181	18.5	5983 
182	18.5	6456 
183	18.5	7446 
184	18.5	18941 
185	18.5	14908 
186	18.5	13990 
187	18	18577 
188	18	18467 
189	18.5	7171 
190	18	14610 
191	18	9685 
192	18.5	7672 
193	18	16604 
194	18	9591 
195	18.5	5156 
196	18.5	5945 
197	17	17188 
198	14	14066 
199	18.5	9027 
200	18.5	11928 
201	18.5	10473 
202	18.5	15229 
203	18.5	4593 
204	18.5	6498 
205	18.5	14505 
206	14	12235 
207	14	10134 
208	18.5	12059 
209	18.5	18069 
210	18.5	4211 
211	18.5	8296 
212	17	19853 
213	14	16614 
214	18.5	8098 
215	17	16811 
216	14	13578 
217	18.5	8048 
218	18.5	11214 
219	18.5	12075 
220	18.5	15088 
221	17	20500 
222	14	20500 
223	18.5	10503 
224	18.5	8760 
225	18.5	11515 
226	18.5	11107 
227	18.5	11819 
228	18.5	13279 
229	18.5	17037 
230	17	20500 
231	14	20500 
232	18.5	17363 
233	17	20500 
234	14	17099 
235	18.5	9313 
236	18.5	12060 
237	18.5	20500 
238	17	20500 
239	17	13795 
240	18.5	14371 
241	17	20500 
242	17	16043 
243	18.5	10969 
244	18.5	11547 
245	18.5	8279 
246	18.5	9963 
247	18.5	10447 
248	18.5	13847 
249	18.5	13916 
250	18.5	18607 
251	18.5	17927 
252	18	20500 
253	18	16202 
254	18.5	9485 
255	18.5	10723 
256	18.5	13343 
257	18.5	15653 
258	18.5	16918 
259	18.5	10671 
260	18.5	11096 
261	18	19446 
262	18	16545 
263	18.5	12359 
264	18	19270 
265	18.5	8714 
266	18.5	9789 
267	18.5	14068 
268	18.5	16208 
269	18.5	12511 
270	18.5	15929 
271	17	20500 
272	14	19686 
273	17	17941 
274	14	15877 
275	18.5	7405 
276	18.5	7823 
277	18.5	14107 
278	17	12056 
279	14	12590 
280	18.5	11894 
281	14	20500 
282	14	20500 
283	18.5	6892 
284	18.5	8347 
285	18.5	7839 
286	18.5	10616 
287	17	16661 
288	14	16133 
289	18.5	14159 
290	18.5	8058 
291	18.5	8528 
292	18.5	10700 
293	18.5	10420 
294	18.5	12055 
295	18.5	15851 
296	14	20500 
297	14	16532 
298	18.5	8734 
299	18.5	14319 
300	18.5	13245 
301	18.5	12637 
302	17	20500 
303	14	20500 
304	14	19693 
305	18.5	11334 
306	18.5	11297 
307	18.5	9199 
308	18.5	9591 
309	18.5	9928 
310	18.5	17114 
311	17	20500 
312	17	18581 
313	18.5	16512 
314	18.5	16869 
315	18.5	10317 
316	18.5	7916 
317	18.5	17892 
318	18.5	5484 
319	18.5	7287 
320	18.5	6923 
321	18.5	10136 
322	18	19352 
323	18	15038 
324	18.5	6685 
325	18.5	7058 
326	18.5	8834 
327	18.5	9487 
328	18	13177 
329	18	8018 
330	18.5	8508 
331	18.5	7018 
332	18.5	8398 
333	18	12219 
334	18	8281 
335	18.5	6026 
336	18.5	10131 
337	18	11520 
338	18.5	6397 
339	18.5	6771 
340	17	13796 
341	14	11352 
342	17	11480 
343	14	8306 
344	18.5	8293 
345	18.5	10114 
346	17	17812 
347	14	16137 
348	18.5	8886 
349	14	6133 
350	18.5	7745 
351	18.5	12318 
352	17	15640 
