1	1	22000
2	1	7854
3	7	7556
4	6	15892
5	5	22000
6	6	18528
7	6	9614
8	6	12104
9	7	5161
10	7	11445
11	7	14225
12	7	22000
13	7	22000
14	7	22000
15	6	15067
16	6	22000
17	6	17739
18	6	5939
19	6	11519
20	7	9305
21	6	8060
22	6	8514
23	7	6853
24	7	9402
25	7	20290
26	7	13662
27	7	6778
28	7	6107
29	7	8860
30	7	6970
31	7	6078
32	7	8339
33	6	6929
34	6	7939
35	6	7496
36	6	5952
37	6	4593
38	6	16620
39	6	22000
40	6	12080
41	5	8794
42	6	7205
43	6	5646
44	7	8216
45	7	10874
46	7	9431
47	7	7784
48	7	6873
49	7	15306
50	7	16291
51	7	1295
52	8	11015
53	8	5098
54	8	15221
55	8	11020
56	8	2477
57	8	3024
58	8	5100
59	8	4274
60	8	3052
61	8	3564
62	8	3054
63	8	2774
64	8	8572
65	1	22000
66	1	13835
67	1	7101
68	1	6852
69	3	9078
70	5	9184
71	5	15578
72	7	5957
73	4	6213
74	6	6251
75	4	6867
76	8	7014
77	8	11516
78	8	15903
79	7	18243
80	7	6770
81	7	8340
82	7	10521
83	8	20159
84	7	17069
85	8	11036
86	8	19126
87	8	19809
88	8	12825
89	8	15073
90	8	12714
91	7	4030
92	8	6412
93	6	3460
94	7	4736
95	7	10097
96	7	6236
97	5	11933
98	6	4998
99	7	14160
100	6	8063
101	6	6464
102	6	7251
103	7	4495
104	7	7529
105	7	4969
106	7	15521
107	7	8479
108	7	4899
109	7	7957
110	7	7864
111	7	10125
112	7	11156
113	6	5838
114	6	7849
115	6	15752
116	5	6680
117	5	7675
118	5	22000
119	5	14925
120	6	16846
121	6	8800
122	6	6961
123	7	9039
124	7	6203
125	7	6895
126	6	12841
127	6	13259
128	6	6085
129	6	6396
130	6	4162
131	7	4323
132	7	10721
133	6	7498
134	6	15271
135	7	1734
136	7	6520
137	2	18980 
138	5	5951 
139	9	9275 
140	9	12309 
141	8	5348 
142	9	5311 
143	9	5480 
144	9	9269 
145	9	18253 
146	9	13921 
147	9	5079 
148	7	9375 
149	6	20500 
150	9	7122 
151	8	7353 
152	8	13484 
153	7	20500 
154	5	15076 
155	7	11034 
156	7	16326 
157	7	12061 
158	7	11051 
159	8	17068 
160	8	9113 
161	8	9028 
162	8	18099 
163	8	15099 
164	8	13649 
165	8	8214 
166	9	5047 
167	9	3695 
168	9	6432 
169	8	7570 
170	8	3277 
171	8	7372 
172	5	5715 
173	5	7899 
174	6	8340 
175	5	5196 
176	5	8431 
177	6	10043 
178	6	8334 
179	6	14225 
180	6	9458 
181	6	5983 
182	6	6456 
183	6	7446 
184	4	18941 
185	5	14908 
186	4	13990 
187	5	18577 
188	5	18467 
189	5	7171 
190	5	14610 
191	5	9685 
192	5	7672 
193	4	16604 
194	4	9591 
195	5	5156 
196	4	5945 
197	4	17188 
198	4	14066 
199	5	9027 
200	5	11928 
201	4	10473 
202	4	15229 
203	5	4593 
204	5	6498 
205	5	14505 
206	5	12235 
207	5	10134 
208	5	12059 
209	2	18069 
210	2	4211 
211	2	8296 
212	3	19853 
213	2	16614 
214	1	8098 
215	1	16811 
216	1	13578 
217	1	8048 
218	1	11214 
219	1	12075 
220	1	15088 
221	1	20500 
222	1	20500 
223	1	10503 
224	1	8760 
225	1	11515 
226	1	11107 
227	1	11819 
228	1	13279 
229	1	17037 
230	1	20500 
231	1	20500 
232	1	17363 
233	1	20500 
234	1	17099 
235	1	9313 
236	1	12060 
237	1	20500 
238	1	20500 
239	1	13795 
240	1	14371 
241	1	20500 
242	1	16043 
243	1	10969 
244	1	11547 
245	1	8279 
246	1	9963 
247	1	10447 
248	1	13847 
249	1	13916 
250	1	18607 
251	1	17927 
252	1	20500 
253	1	16202 
254	1	9485 
255	1	10723 
256	1	13343 
257	1	15653 
258	1	16918 
259	1	10671 
260	1	11096 
261	1	19446 
262	1	16545 
263	1	12359 
264	1	19270 
265	1	8714 
266	1	9789 
267	1	14068 
268	1	16208 
269	1	12511 
270	1	15929 
271	1	20500 
272	1	19686 
273	1	17941 
274	1	15877 
275	1	7405 
276	1	7823 
277	1	14107 
278	1	12056 
279	1	12590 
280	1	11894 
281	6	20500 
282	3	20500 
283	3	6892 
284	4	8347 
285	3	7839 
286	5	10616 
287	4	16661 
288	3	16133 
289	5	14159 
290	4	8058 
291	4	8528 
292	3	10700 
293	4	10420 
294	5	12055 
295	7	15851 
296	7	20500 
297	6	16532 
298	4	8734 
299	5	14319 
300	4	13245 
301	5	12637 
302	5	20500 
303	4	20500 
304	4	19693 
305	4	11334 
306	5	11297 
307	5	9199 
308	6	9591 
309	5	9928 
310	5	17114 
311	5	20500 
312	5	18581 
313	5	16512 
314	5	16869 
315	5	10317 
316	6	7916 
317	6	17892 
318	5	5484 
319	5	7287 
320	6	6923 
321	6	10136 
322	6	19352 
323	6	15038 
324	6	6685 
325	6	7058 
326	6	8834 
327	6	9487 
328	6	13177 
329	6	8018 
330	7	8508 
331	7	7018 
332	7	8398 
333	7	12219 
334	7	8281 
335	8	6026 
336	7	10131 
337	7	11520 
338	7	6397 
339	7	6771 
340	6	13796 
341	7	11352 
342	7	11480 
343	6	8306 
344	6	8293 
345	5	10114 
346	5	17812 
347	5	16137 
348	5	8886 
349	5	6133 
350	5	7745 
351	5	12318 
352	5	15640 
