1	49.9	22000
2	42.8	7854
3	51.3	7556
4	48.1	15892
5	46.9	22000
6	73.6	18528
7	63.5	9614
8	46.3	12104
9	87.3	5161
10	74.4	11445
11	58.1	14225
12	47.1	22000
13	60.3	22000
14	43.8	22000
15	55.6	15067
16	46.6	22000
17	47.9	17739
18	78	5939
19	70.3	11519
20	64.1	9305
21	51	8060
22	60.5	8514
23	53.1	6853
24	42.5	9402
25	45.9	20290
26	55.6	13662
27	64.9	6778
28	59.5	6107
29	78.1	8860
30	72.8	6970
31	59.6	6078
32	63.9	8339
33	71.1	6929
34	68.1	7939
35	68.3	7496
36	62.3	5952
37	91.3	4593
38	61.6	16620
39	68.1	22000
40	77.8	12080
41	72.3	8794
42	70.9	7205
43	73.1	5646
44	69.8	8216
45	64.6	10874
46	71	9431
47	68.3	7784
48	76.1	6873
49	71	15306
50	68.6	16291
51	88.4	1295
52	71.9	11015
53	73.6	5098
54	71.8	15221
55	53.9	11020
56	67	2477
57	70	3024
58	65.6	5100
59	61.6	4274
60	55	3052
61	52.1	3564
62	68.9	3054
63	73.3	2774
64	48.9	8572
65	38.4	22000
66	49.4	13835
67	67.1	7101
68	61.4	6852
69	57.5	9078
70	46.9	9184
71	41	15578
72	84.1	5957
73	53.9	6213
74	52.5	6251
75	48.1	6867
76	79	7014
77	68.6	11516
78	70.4	15903
79	68.9	18243
80	67.3	6770
81	47.9	8340
82	57.5	10521
83	49.3	20159
84	40.1	17069
85	44.1	11036
86	49.5	19126
87	44.3	19809
88	44.8	12825
89	75.3	15073
90	63	12714
91	69.3	4030
92	56.4	6412
93	73.6	3460
94	50.5	4736
95	58.8	10097
96	75.6	6236
97	79.4	11933
98	90.3	4998
99	86.4	14160
100	77.6	8063
101	79.5	6464
102	74.8	7251
103	81.9	4495
104	71.4	7529
105	96.9	4969
106	81.3	15521
107	77.1	8479
108	92.1	4899
109	85.1	7957
110	83.4	7864
111	70.8	10125
112	70.5	11156
113	89.1	5838
114	81.8	7849
115	80.8	15752
116	79.9	6680
117	74.3	7675
118	88.3	22000
119	83.8	14925
120	77.5	16846
121	78.1	8800
122	83	6961
123	78.9	9039
124	60	6203
125	57.3	6895
126	89.8	12841
127	70.3	13259
128	57.9	6085
129	69.6	6396
130	68.6	4162
131	66.8	4323
132	78.4	10721
133	54.4	7498
134	79.3	15271
135	58.8	1734
136	60	6520
137	41.9	18980 
138	86.3	5951 
139	57.6	9275 
140	65.5	12309 
141	54.9	5348 
142	58.5	5311 
143	97.9	5480 
144	63.1	9269 
145	55.5	18253 
146	48.5	13921 
147	85.6	5079 
148	65.1	9375 
149	64.1	20500 
150	77.1	7122 
151	72.3	7353 
152	71.6	13484 
153	60.8	20500 
154	81.6	15076 
155	51.9	11034 
156	41.6	16326 
157	44.9	12061 
158	63.5	11051 
159	65.1	17068 
160	69.4	9113 
161	61.8	9028 
162	75.5	18099 
163	75.6	15099 
164	80.3	13649 
165	88.1	8214 
166	73.9	5047 
167	84	3695 
168	83.4	6432 
169	84.3	7570 
170	93.4	3277 
171	84.6	7372 
172	77.4	5715 
173	85.4	7899 
174	87.5	8340 
175	96.6	5196 
176	85.9	8431 
177	80.3	10043 
178	78.3	8334 
179	76.5	14225 
